date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:24	53613/53613	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2011:25:06%20GMT	https://lmpixels.com/demo/breezycv/dark/3/index.html	D:/CV1/lmpixels.com/demo/breezycv/dark/3/index.html	(from )
23:42:25	214/214	---MC-	302	error ('Found')	text/html	date:Sun,%2016%20Aug%202020%2016:41:11%20GMT	https://lmpixels.com/robots.txt		(from )
23:42:25	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e733e7e-47e%22	https://lmpixels.com/demo/breezycv/dark/3/favicon.ico	D:/CV1/lmpixels.com/demo/breezycv/dark/3/favicon.ico	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:25	585/585	---MCZ	200	added ('OK')	text/css	etag:W/%225e4f9df0-4b3%22	https://lmpixels.com/demo/breezycv/dark/3/css/reset.css	D:/CV1/lmpixels.com/demo/breezycv/dark/3/css/reset.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:25	28977/28977	---MCZ	200	added ('OK')	text/css	etag:W/%225b5690ea-7131%22	https://lmpixels.com/demo/breezycv/dark/3/css/bootstrap-grid.min.css	D:/CV1/lmpixels.com/demo/breezycv/dark/3/css/bootstrap-grid.min.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:25	37742/37742	---MCZ	200	added ('OK')	text/css	etag:W/%225e4b9a18-a7e5%22	https://lmpixels.com/demo/breezycv/dark/3/css/animations.css	D:/CV1/lmpixels.com/demo/breezycv/dark/3/css/animations.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:26	4320/4320	---MCZ	200	added ('OK')	text/css	etag:W/%225e46d326-113b%22	https://lmpixels.com/demo/breezycv/dark/3/css/perfect-scrollbar.css	D:/CV1/lmpixels.com/demo/breezycv/dark/3/css/perfect-scrollbar.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:26	2912/2912	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/breezycv/dark/3/css/owl.carousel.css	D:/CV1/lmpixels.com/demo/breezycv/dark/3/css/owl.carousel.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:26	5810/5810	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/breezycv/dark/3/css/magnific-popup.css	D:/CV1/lmpixels.com/demo/breezycv/dark/3/css/magnific-popup.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:26	43447/43447	---MCZ	200	added ('OK')	text/css	etag:W/%225e982f3c-e827%22	https://lmpixels.com/demo/breezycv/dark/3/css/main.css	D:/CV1/lmpixels.com/demo/breezycv/dark/3/css/main.css	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:26	9358/9358	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	https://lmpixels.com/demo/breezycv/dark/3/js/modernizr.custom.js	D:/CV1/lmpixels.com/demo/breezycv/dark/3/js/modernizr.custom.js	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:27	51128/51128	---M--	200	added ('OK')	image/png	etag:%225e909360-c7b8%22	https://lmpixels.com/demo/breezycv/dark/3/img/main_bg.png	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/main_bg.png	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:27	34406/34406	---M--	200	added ('OK')	image/jpeg	etag:%225e7b064c-8666%22	https://lmpixels.com/demo/breezycv/dark/3/img/main_photo.jpg	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/main_photo.jpg	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:27	23988/23988	---M--	200	added ('OK')	image/jpeg	etag:%225e5ceff0-5db4%22	https://lmpixels.com/demo/breezycv/dark/3/img/testimonials/testimonial-1.jpg	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/testimonials/testimonial-1.jpg	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:27	14861/14861	---M--	200	added ('OK')	image/jpeg	etag:%225e5ceeee-3a0d%22	https://lmpixels.com/demo/breezycv/dark/3/img/testimonials/testimonial-2.jpg	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/testimonials/testimonial-2.jpg	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:28	21287/21287	---M--	200	added ('OK')	image/jpeg	etag:%225e5cf048-5327%22	https://lmpixels.com/demo/breezycv/dark/3/img/testimonials/testimonial-3.jpg	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/testimonials/testimonial-3.jpg	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:28	2783/2783	---M--	200	added ('OK')	image/png	etag:%225e4e56a6-adf%22	https://lmpixels.com/demo/breezycv/dark/3/img/clients/client-1.png	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/clients/client-1.png	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:28	2295/2295	---M--	200	added ('OK')	image/png	etag:%225e4e56b0-8f7%22	https://lmpixels.com/demo/breezycv/dark/3/img/clients/client-2.png	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/clients/client-2.png	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:28	3079/3079	---M--	200	added ('OK')	image/png	etag:%225e4e56b4-c07%22	https://lmpixels.com/demo/breezycv/dark/3/img/clients/client-3.png	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/clients/client-3.png	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:28	2528/2528	---M--	200	added ('OK')	image/png	etag:%225e4e56ba-9e0%22	https://lmpixels.com/demo/breezycv/dark/3/img/clients/client-4.png	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/clients/client-4.png	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
23:42:29	2808/2808	---M--	200	added ('OK')	image/png	etag:%225e4e56c6-af8%22	https://lmpixels.com/demo/breezycv/dark/3/img/clients/client-5.png	D:/CV1/lmpixels.com/demo/breezycv/dark/3/img/clients/client-5.png	(from https://lmpixels.com/demo/breezycv/dark/3/index.html)
